date,time,title,name,link,image,content
20241213,"12月13日 金曜 5:00
            -6:30 TBSラジオ",生島ヒロシのおはよう定食・一直線,不明,https://radiko.jp/share/?t=20241213050000&sid=TBS,https://cdn.minds-r.org/images/origin/ch3vcvtc5e.jpg,"健康情報、最新ニュースなど、情報満載でお送りします。◆5時45分頃　「ヒロシのちょっといい話」
生島ヒロシが田嶋陽子さんと語る◆6時03分頃　「ニュースピックアップ」
二木啓孝さん　ニュースを斬る  メール：ohayou@tbs.co.jp受付FAX番号：03-5562-0954TBSラジオショッピング：0120-234-954"
20241213,"12月13日 金曜 6:30
            -8:30 TBSラジオ",森本毅郎・スタンバイ！,不明,https://radiko.jp/share/?t=20241213063000&sid=TBS,https://cdn.minds-r.org/images/origin/o484yssyud.jpg,聴く朝刊今朝も最新ニュースをお届けします。◆コメンテーターは、金融アナリスト・経済ジャーナリストの伊藤洋一さん。◆「日本全国８時です」気になるニュースの深堀コラム。金曜は、最新トレンドと来週先取りニュース！X（旧Twitter）ハッシュタグは「#TBSスタンバイ」X（旧Twitter）：@standby954メール：stand-by@tbs.co.jp受付FAX番号：03-5562-0954
20241213,"12月13日 金曜 8:30
            -14:00 TBSラジオ",金曜ボイスログ,不明,https://radiko.jp/share/?t=20241213083000&sid=TBS,https://cdn.minds-r.org/images/origin/aiu147chgm.jpg,"「あなたのレビューがラジオになる」をモットーに、あなたの愛するもの・ことをレビューしまくるラジオ番組。大の大人が集まって、「このカメラが最高」「私の愛車が一番！」わいわい話す4時間半。ミュージシャンであり、カメラ・眼鏡コレクターの臼井ミトンがナビゲートします！◆8時40分　週末に行ける美術館情報by原カントくん◆9時10分　kinokoファッションログ◆9時20分　臼井ミトンの新譜紹介「新譜ログ」◆10時10分　ヤヨイ化学presents教えて！壁紙のこと。◆10時25分　特集コーナー「J-POPカバー特集」with 高橋芳朗さんさん◆11時40分　Orono Says, ""OK Wow!""　◆12時35分　ロジスティード プレゼンツ「LOGISTEED CAFÉ」◆13時00分　臼井ミトンの音楽コラム◆13時30分　ミトンさんは好みじゃないと思うんですけど…◆13時40分　業界虫めがねメール：vl@tbs.co.jpX（旧Twitter）：@vl_905954instagram：voicelog905954LINEはコチラ！"
20241213,"12月13日 金曜 14:00
            -17:30 TBSラジオ",金曜ワイド ラジオTOKYO えんがわ,"臼井ミトン



外山惠理



玉袋筋太郎",https://radiko.jp/share/?t=20241213140000&sid=TBS,https://cdn.minds-r.org/images/origin/48l01qkbtf.jpg,外山惠理アナウンサー＆浅草キッド・玉袋筋太郎。 TBS0年以上の歴史を重ねたTBSラジオのレガシーを引き継しいものにしていくラジオレガシープログラムですール：engawa@tbs.co.jp
20241213,"12月13日 金曜 17:30
            -17:46 TBSラジオ",ネットワークトゥデイ,不明,https://radiko.jp/share/?t=20241213173000&sid=TBS,https://cdn.minds-r.org/images/origin/ly94cuolqj.jpg,無料で使えるテレビ番組表アプリあなたのテレビ生活をもっと豊かに
20241213,"12月13日 金曜 17:46
            -17:50 TBSラジオ",交通情報・天気予報,不明,https://radiko.jp/share/?t=20241213174600&sid=TBS,https://cdn.minds-r.org/images/repix/782f8002-5dbc-4385-b2fc-03f77dd2ec86.jpeg,無料で使えるテレビ番組表
20241213,"12月13日 金曜 17:50
            -18:00 TBSラジオ",見事なお仕事,不明,https://radiko.jp/share/?t=20241213175000&sid=TBS,https://cdn.minds-r.org/images/origin/ypl3m0e707.png,企業の“見事な”取り組みや新商品・新サービス情報を、お届けする番組です。ポップカルチャーの総合誌「BRUTUS」の元編集長でカルチャーに精通する西田善太ならではの視点で、さまざまな企業の見事なお仕事内容を、インタビュー形式で伺っていきます。メール:migoto@tbs.co.jp
20241213,"12月13日 金曜 18:00
            -21:00 TBSラジオ",荻上チキ・Session,"塚越健司



プチ鹿島



荻上チキ



片桐千晶",https://radiko.jp/share/?t=20241213180000&sid=TBS,https://cdn.minds-r.org/images/origin/wnm0luo45b.jpg,「知る→わかる→動かす」というコンセプトを引き継ぎ、荻上が提唱する「自由で寛容な社会をつくるために、良質な議論と適切な情報を共有する“場”」としてのラジオの可能性を追求。企業に求められる社会的責任の高まりの中で、ビジネスにおいてもソーシャルグッドが重視され、地球規模の環境問題、そしてコロナ禍における感染症対策など、個人や一企業では対処できない課題が大きくなっている今、国家や自治体、公共への関心が世界的に高まっています。「今、何が起きているのか？」「なぜ、起きているのか？」をクリアに解説した上で、一歩先の未来、アップデートされた新しい価値観を提示する、「何かが始まる音がする」ニュースプログラムです。▼18時　　　オープニング～荻上チキの新聞読み比べ▼18時台　　最新ニュース▼19時台～　日替わりコメンテーター。時事芸人のプチ鹿島さん▼19時40分～塚越健司さんが＜音声＞をめぐる最新研究を伝えます。▼20時～　　政治・経済・社会など時事問題を1時間にわたり特集します。X（旧Twitter）：@Session_1530Facebook：@ss954メール：ss954@tbs.co.jp受付FAX番号：03-5562-0954
20241213,"12月13日 金曜 21:00
            -21:30 TBSラジオ",宮藤さんに言ってもしょうがないんですけど,不明,https://radiko.jp/share/?t=20241213210000&sid=TBS,https://cdn.minds-r.org/images/origin/diiqq69d45.jpg,コールセンターの人に…駅員さんに…飲食店の店員さんに…もしかするとあなたも、誰かに八つ当たりしてしまった経験があるかもしれない。でも、知らなかった職業の苦労を知ることで、明日からきっと、優しくなれる。様々な職業の、宮藤さんに言ってもしょうがない愚痴を聞き、それぞれの職業から考える世の中への要望も掘り下げることで、社会の構造的問題も見えてくる。楽しく、よりよい世の中を目指す、愚痴エンタテインメント番組！メール：gc@tbs.co.jp
20241213,"12月13日 金曜 21:30
            -22:00 TBSラジオ",問わず語りの神田伯山,不明,https://radiko.jp/share/?t=20241213213000&sid=TBS,https://cdn.minds-r.org/images/origin/l66qp9i5bi.jpg,"
出演者: 神田伯山
ジャンル: トーク / 講談
人気層: 古典芸能ファン、20～40代の社会人、芸能界の話題に興味がある人。
おすすめのシーン: リラックスするとき、通勤・通学中、作業をするとき。"
